lpx,step,elbo,lqz,loss,lpz,epoch,kl
-723.4213256835938,8099,-728.8112182617188,-65.59344482421875,728.8112182617188,-70.98334503173828,67,5.389906406402588
-723.4256591796875,8199,-728.8336181640625,-65.55821990966797,728.8336181640625,-70.96620178222656,68,5.407979965209961
-723.094482421875,8299,-728.5140380859375,-65.5433120727539,728.5140380859375,-70.96289825439453,69,5.419586658477783
-723.21044921875,8399,-728.6466674804688,-65.52283477783203,728.6466674804688,-70.9590835571289,69,5.43625020980835
-723.3345336914062,8499,-728.7927856445312,-65.49069213867188,728.7927856445312,-70.94890594482422,70,5.4582133293151855
-723.0690307617188,8599,-728.5599975585938,-65.45783233642578,728.5599975585938,-70.9488296508789,71,5.490994930267334
-723.0081787109375,8699,-728.5314331054688,-65.41860961914062,728.5314331054688,-70.94190216064453,72,5.523290634155273
-723.09521484375,8799,-728.6499633789062,-65.39210510253906,728.6499633789062,-70.94683837890625,73,5.554737567901611
-722.9345703125,8899,-728.5206298828125,-65.36483764648438,728.5206298828125,-70.95091247558594,74,5.586075782775879
-722.62890625,8999,-728.2352294921875,-65.3458023071289,728.2352294921875,-70.95208740234375,74,5.606281757354736
-722.6502075195312,9099,-728.28662109375,-65.31688690185547,728.28662109375,-70.9532699584961,75,5.636380195617676
-722.4651489257812,9199,-728.1224365234375,-65.28749084472656,728.1224365234375,-70.94474792480469,76,5.657258033752441
-722.5233764648438,9299,-728.2083129882812,-65.25617218017578,728.2083129882812,-70.94113159179688,77,5.6849541664123535
-722.3578491210938,9399,-728.0693359375,-65.23725128173828,728.0693359375,-70.94873046875,78,5.711479663848877
-722.3861083984375,9499,-728.1237182617188,-65.20883178710938,728.1237182617188,-70.9464340209961,79,5.737602710723877
-722.2720336914062,9599,-728.0426025390625,-65.17404174804688,728.0426025390625,-70.9445571899414,79,5.7705206871032715
-722.1651000976562,9699,-727.9752197265625,-65.14021301269531,727.9752197265625,-70.95032501220703,80,5.810116291046143
-721.8463134765625,9799,-727.7003173828125,-65.09895324707031,727.7003173828125,-70.9529037475586,81,5.853949546813965
-721.8961791992188,9899,-727.7838134765625,-65.06523895263672,727.7838134765625,-70.95289611816406,82,5.887654781341553
-721.9412231445312,9999,-727.8557739257812,-65.0432357788086,727.8557739257812,-70.95780181884766,83,5.914564609527588
-721.7599487304688,10099,-727.6931762695312,-65.02155303955078,727.6931762695312,-70.95477294921875,84,5.933219909667969
-721.647216796875,10199,-727.5979614257812,-65.00444793701172,727.5979614257812,-70.95519256591797,84,5.950747013092041
-721.4154663085938,10299,-727.3860473632812,-64.98040008544922,727.3860473632812,-70.95097351074219,85,5.97057580947876
-721.4491577148438,10399,-727.43359375,-64.96603393554688,727.43359375,-70.95051574707031,86,5.984480381011963
-721.3497314453125,10499,-727.358642578125,-64.94313049316406,727.358642578125,-70.9520492553711,87,6.008915424346924
-721.5614013671875,10599,-727.58984375,-64.92169189453125,727.58984375,-70.95013427734375,88,6.028447151184082
-721.2078247070312,10699,-727.2576293945312,-64.90618133544922,727.2576293945312,-70.95600128173828,89,6.049826145172119
-721.3289184570312,10799,-727.4124755859375,-64.87814331054688,727.4124755859375,-70.9616928100586,89,6.083553314208984
