kl,lpx,step,lqz,elbo,lpz,epoch,loss
19.69917869567871,-87.61598205566406,4199,-51.8648796081543,-107.3151626586914,-71.56405639648438,41,107.3151626586914
19.782604217529297,-87.28881072998047,4299,-51.778907775878906,-107.07141876220703,-71.56151580810547,42,107.07141876220703
19.858240127563477,-86.972900390625,4399,-51.70292282104492,-106.83113861083984,-71.56116485595703,43,106.83113861083984
19.920530319213867,-86.6314468383789,4499,-51.63331604003906,-106.5519790649414,-71.55384826660156,44,106.5519790649414
20.00630760192871,-86.29901123046875,4599,-51.537925720214844,-106.3053207397461,-71.54423522949219,45,106.3053207397461
20.072235107421875,-86.03753662109375,4699,-51.466373443603516,-106.10977172851562,-71.53861236572266,46,106.10977172851562
20.119447708129883,-85.65271759033203,4799,-51.4105110168457,-105.77216339111328,-71.52996063232422,47,105.77216339111328
20.17967987060547,-85.35751342773438,4899,-51.34751892089844,-105.53719329833984,-71.5271987915039,48,105.53719329833984
20.240280151367188,-85.102783203125,4999,-51.266883850097656,-105.34306335449219,-71.50716400146484,49,105.34306335449219
20.29203224182129,-84.81224822998047,5099,-51.207149505615234,-105.10427856445312,-71.49918365478516,50,105.10427856445312
20.331954956054688,-84.55965423583984,5199,-51.167625427246094,-104.89160919189453,-71.49958038330078,51,104.89160919189453
20.39851188659668,-84.28977966308594,5299,-51.08656692504883,-104.68829345703125,-71.4850845336914,52,104.68829345703125
20.449987411499023,-84.0641098022461,5399,-51.02398681640625,-104.51409912109375,-71.4739761352539,53,104.51409912109375
20.4842472076416,-83.80278778076172,5499,-50.986637115478516,-104.28703308105469,-71.47088623046875,54,104.28703308105469
20.522686004638672,-83.5997314453125,5599,-50.9312858581543,-104.12242126464844,-71.45397186279297,55,104.12242126464844
