epoch,s_py,s_lpx,s_kl,u_py,s_qy,step,loss,u_H,u_acc,u_kl,s_acc,u_lpx,s_H
43,-2.3025851249694824,-17.766542434692383,1.3381491899490356,-2.3025851249694824,-0.2015107125043869,4399,21.000213623046875,0.4582841694355011,0.8487385511398315,1.8813296556472778,0.9545224905014038,-24.327194213867188,0.38445109128952026
44,-2.3025851249694824,-17.494081497192383,1.3233017921447754,-2.3025851249694824,-0.18244639039039612,4449,20.99276351928711,0.45657825469970703,0.8481131196022034,1.903687834739685,0.9634420275688171,-24.3136043548584,0.3774084150791168
44,-2.3025851249694824,-17.658203125,1.328674077987671,-2.3025851249694824,-0.20094382762908936,4499,20.994125366210938,0.45393887162208557,0.8488841652870178,1.9255025386810303,0.9543704390525818,-24.314620971679688,0.3742314577102661
45,-2.3025851249694824,-17.685991287231445,1.3208160400390625,-2.3025851249694824,-0.2242216020822525,4549,20.985332489013672,0.4511244595050812,0.8499789237976074,1.944560170173645,0.9464947581291199,-24.323488235473633,0.38502639532089233
45,-2.3025851249694824,-17.79137420654297,1.3849174976348877,-2.3025851249694824,-0.2129547894001007,4599,20.990123748779297,0.44912779331207275,0.8480144143104553,1.9623284339904785,0.9401776790618896,-24.317996978759766,0.37696442008018494
46,-2.3025851249694824,-17.71172523498535,1.4269036054611206,-2.3025851249694824,-0.22505150735378265,4649,20.976791381835938,0.4473544955253601,0.8476316928863525,1.9914565086364746,0.9222039580345154,-24.307579040527344,0.3903053402900696
46,-2.3025851249694824,-17.473718643188477,1.391179084777832,-2.3025851249694824,-0.22279445827007294,4699,20.994083404541016,0.4456539750099182,0.8485451936721802,2.0127668380737305,0.9376367926597595,-24.303991317749023,0.3691161870956421
47,-2.3025851249694824,-17.69496726989746,1.4203665256500244,-2.3025851249694824,-0.2492862045764923,4749,21.000988006591797,0.44442829489707947,0.847851037979126,2.031061887741089,0.9304526448249817,-24.311105728149414,0.3897519111633301
47,-2.3025851249694824,-17.428340911865234,1.4154807329177856,-2.3025851249694824,-0.2041604071855545,4799,20.975549697875977,0.4420332610607147,0.8494879007339478,2.0460498332977295,0.9411014318466187,-24.29633331298828,0.36174944043159485
48,-2.3025851249694824,-17.71429443359375,1.418494701385498,-2.3025851249694824,-0.21402831375598907,4849,20.989988327026367,0.44045424461364746,0.8486568927764893,2.068859577178955,0.9413408041000366,-24.306121826171875,0.35574084520339966
48,-2.3025851249694824,-17.384878158569336,1.4506726264953613,-2.3025851249694824,-0.18573476374149323,4899,20.979833602905273,0.43908244371414185,0.8488203883171082,2.086514472961426,0.9559102654457092,-24.28255844116211,0.3592262864112854
49,-2.3025851249694824,-17.155227661132812,1.4402328729629517,-2.3025851249694824,-0.17742882668972015,4949,20.97349739074707,0.4375266134738922,0.848219096660614,2.1025478839874268,0.9568026065826416,-24.28597640991211,0.36402732133865356
49,-2.3025851249694824,-17.515228271484375,1.4399560689926147,-2.3025851249694824,-0.18201681971549988,4999,20.973188400268555,0.4356677830219269,0.8490982055664062,2.1243247985839844,0.9663181304931641,-24.28605079650879,0.35178107023239136
50,-2.3025851249694824,-17.50850486755371,1.4820502996444702,-2.3025851249694824,-0.18645964562892914,5049,20.972883224487305,0.4333244264125824,0.8497071266174316,2.1443076133728027,0.9552632570266724,-24.27880859375,0.3722842335700989
50,-2.3025851249694824,-17.552581787109375,1.4769700765609741,-2.3025851249694824,-0.20493148267269135,5099,20.976123809814453,0.43188226222991943,0.8473684191703796,2.1573922634124756,0.9507670402526855,-24.272180557250977,0.3548550307750702
51,-2.3025851249694824,-17.71756362915039,1.490912914276123,-2.3025851249694824,-0.18386980891227722,5149,20.968610763549805,0.4291183054447174,0.8476414680480957,2.172271966934204,0.9606078267097473,-24.283388137817383,0.34585103392601013
51,-2.3025851249694824,-17.291217803955078,1.4837238788604736,-2.3025851249694824,-0.1981421411037445,5199,20.97125816345215,0.4292990267276764,0.8483265042304993,2.188906669616699,0.9617329239845276,-24.277952194213867,0.36759883165359497
52,-2.3025851249694824,-17.229537963867188,1.5060863494873047,-2.3025851249694824,-0.20323672890663147,5249,20.96622085571289,0.42880779504776,0.8473533987998962,2.2128984928131104,0.9447049498558044,-24.251890182495117,0.3652474284172058
52,-2.3025851249694824,-17.27700424194336,1.5319784879684448,-2.3025851249694824,-0.2045833021402359,5299,20.960189819335938,0.4258621037006378,0.8484666347503662,2.2373764514923096,0.9265671968460083,-24.258235931396484,0.36887219548225403
53,-2.3025851249694824,-17.25008201599121,1.5431736707687378,-2.3025851249694824,-0.17946156859397888,5349,20.970739364624023,0.42430800199508667,0.8487420082092285,2.257098913192749,0.9459667205810547,-24.247119903564453,0.3651985228061676
53,-2.3025851249694824,-17.235275268554688,1.5296400785446167,-2.3025851249694824,-0.2134627401828766,5399,20.953453063964844,0.4230602979660034,0.8485146164894104,2.2684571743011475,0.9365798234939575,-24.24785804748535,0.3771424889564514
54,-2.3025851249694824,-17.180707931518555,1.5531976222991943,-2.3025851249694824,-0.20248010754585266,5449,20.959697723388672,0.421000599861145,0.8480523228645325,2.2858214378356934,0.9544531106948853,-24.26261329650879,0.3746967315673828
54,-2.3025851249694824,-17.22578239440918,1.5671323537826538,-2.3025851249694824,-0.19907236099243164,5499,20.95508575439453,0.42033421993255615,0.8489009737968445,2.306570529937744,0.946350634098053,-24.24923324584961,0.35828256607055664
55,-2.3025851249694824,-17.32901382446289,1.641769528388977,-2.3025851249694824,-0.1908096820116043,5549,20.968936920166016,0.41920754313468933,0.8496859073638916,2.3283205032348633,0.9425925016403198,-24.22376823425293,0.3654973804950714
55,-2.3025851249694824,-17.232053756713867,1.6177475452423096,-2.3025851249694824,-0.2007615715265274,5599,20.957767486572266,0.4168322682380676,0.849609911441803,2.350125312805176,0.9347485899925232,-24.238752365112305,0.3496547043323517
56,-2.3025851249694824,-17.147602081298828,1.5869189500808716,-2.3025851249694824,-0.20458725094795227,5649,20.964929580688477,0.4166690707206726,0.8491087555885315,2.365612506866455,0.9224600195884705,-24.22950553894043,0.3593461513519287
56,-2.3025851249694824,-17.180639266967773,1.6152278184890747,-2.3025851249694824,-0.20605525374412537,5699,20.957422256469727,0.414438396692276,0.8489626049995422,2.379239320755005,0.9261103272438049,-24.22429656982422,0.32623741030693054
57,-2.3025851249694824,-17.188034057617188,1.6749564409255981,-2.3025851249694824,-0.17426353693008423,5749,20.95594024658203,0.41274720430374146,0.8488573431968689,2.3954014778137207,0.9552962779998779,-24.23891258239746,0.32384568452835083
57,-2.3025851249694824,-17.191179275512695,1.6331069469451904,-2.3025851249694824,-0.20628789067268372,5799,20.957298278808594,0.41299381852149963,0.848735511302948,2.4146413803100586,0.9397640824317932,-24.22153091430664,0.35388752818107605
58,-2.3025851249694824,-17.15692710876465,1.6966829299926758,-2.3025851249694824,-0.17664551734924316,5849,20.95572853088379,0.41122785210609436,0.8480111956596375,2.4370429515838623,0.9538539052009583,-24.21218490600586,0.3403194844722748
58,-2.3025851249694824,-16.751325607299805,1.6491543054580688,-2.3025851249694824,-0.22878983616828918,5899,20.95470428466797,0.41017794609069824,0.8485273718833923,2.459171772003174,0.9411494135856628,-24.20023536682129,0.3493017554283142
59,-2.3025851249694824,-16.862228393554688,1.6954123973846436,-2.3025851249694824,-0.2100425362586975,5949,20.950605392456055,0.4090004563331604,0.84870445728302,2.479438304901123,0.9477053284645081,-24.192096710205078,0.38103193044662476
59,-2.3025851249694824,-16.8532772064209,1.6613880395889282,-2.3025851249694824,-0.1924862265586853,5999,20.952943801879883,0.4083375036716461,0.847955048084259,2.496628522872925,0.9533863663673401,-24.19395637512207,0.3390890955924988
60,-2.3025851249694824,-16.823854446411133,1.7265160083770752,-2.3025851249694824,-0.1929657757282257,6049,20.946224212646484,0.40703514218330383,0.8491841554641724,2.5210206508636475,0.9473080039024353,-24.17973518371582,0.3282327353954315
